Año,Entidad,Sexo,Edad,Población afrodescendiente,Población con condición mental,Población con discapacidad,Población hablante de lengua indígena,Población total
2020,GUERRERO,Hombre,15 a 17 años,0.083536633,0.014873692,0.076680176,0.176162745,0.501059729
2020,GUERRERO,Hombre,5 a 9 años,0.08010702,0.01450077,0.070432314,0.158932734,0.504723512
2020,GUERRERO,Mujer,10 a 14 años,0.082329038,0.012028329,0.070469058,0.181713689,0.494299742
2020,GUERRERO,Mujer,15 a 17 años,0.082251595,0.012269575,0.081006856,0.182739612,0.498940271
2020,GUERRERO,Mujer,5 a 9 años,0.080076159,0.010992424,0.057113439,0.162643014,0.495276488
2020,GUERRERO,Total,10 a 14 años,0.081180971,0.014129409,0.075677273,0.179162853,0.281532472
2020,GUERRERO,Total,15 a 17 años,0.082895476,0.013574393,0.078838931,0.179444209,0.163899622
2020,GUERRERO,Total,5 a 9 años,0.080091735,0.012763169,0.063835788,0.160770348,0.283565848
2020,HIDALGO,Hombre,10 a 14 años,0.013464165,0.018230982,0.097789424,0.097566415,0.505830595
2020,HIDALGO,Hombre,15 a 17 años,0.013612257,0.016758986,0.097525044,0.098974661,0.506697242
2020,HIDALGO,Hombre,5 a 9 años,0.013688459,0.016695215,0.083821594,0.074830732,0.504639162
2020,HIDALGO,Mujer,10 a 14 años,0.013282543,0.012412258,0.09072362,0.09744336,0.494169405
2020,HIDALGO,Mujer,15 a 17 años,0.01337659,0.012638154,0.108985921,0.098345177,0.493302758
2020,HIDALGO,Mujer,5 a 9 años,0.013413118,0.011450953,0.070308404,0.078726241,0.495360838
2020,HIDALGO,Total,10 a 14 años,0.013374413,0.015355546,0.09429772,0.097505605,0.295842524
2020,HIDALGO,Total,15 a 17 años,0.013496002,0.014726169,0.103178726,0.098664135,0.17463903
2020,HIDALGO,Total,5 a 9 años,0.013552066,0.014097413,0.077127689,0.076760414,0.281113805
2020,JALISCO,Hombre,10 a 14 años,0.013765727,0.017652876,0.07138344,0.008669853,0.509185823
2020,JALISCO,Hombre,15 a 17 años,0.013550875,0.016861153,0.066649406,0.008636313,0.506363015
2020,JALISCO,Hombre,5 a 9 años,0.013302703,0.01750428,0.066376119,0.007729912,0.506769252
2020,JALISCO,Mujer,10 a 14 años,0.013294916,0.012003899,0.067372309,0.007743256,0.490814177
2020,JALISCO,Mujer,15 a 17 años,0.014289102,0.011889405,0.075206298,0.007910462,0.493636985
2020,JALISCO,Mujer,5 a 9 años,0.013625494,0.011070361,0.052474809,0.008388177,0.493230748
2020,JALISCO,Total,10 a 14 años,0.013534647,0.014880278,0.06941472,0.008215066,0.282443716
2020,JALISCO,Total,15 a 17 años,0.013915291,0.014406915,0.070873405,0.008278006,0.168759988
2020,JALISCO,Total,5 a 9 años,0.013461913,0.014330873,0.059519566,0.008054588,0.283705596
2020,MICHOACÁN,Hombre,10 a 14 años,0.011786118,0.014898209,0.076977937,0.030143749,0.505850741
2020,MICHOACÁN,Hombre,15 a 17 años,0.012154607,0.014640228,0.074423843,0.029795278,0.504791489
2020,MICHOACÁN,Hombre,5 a 9 años,0.013152358,0.014410293,0.068192603,0.028757912,0.505826302
2020,MICHOACÁN,Mujer,10 a 14 años,0.012335437,0.010993804,0.072865358,0.031151481,0.494149259
2020,MICHOACÁN,Mujer,15 a 17 años,0.012750605,0.01097946,0.082341847,0.030257062,0.495208511
2020,MICHOACÁN,Mujer,5 a 9 años,0.013013435,0.010048755,0.054551036,0.029985887,0.494173698
2020,MICHOACÁN,Total,10 a 14 años,0.012057563,0.01296885,0.074945709,0.030641719,0.276363238
2020,MICHOACÁN,Total,15 a 17 años,0.01244975,0.012827385,0.078344906,0.030023957,0.159439956
2020,MICHOACÁN,Total,5 a 9 años,0.013083706,0.012254935,0.0614513,0.029364745,0.285912026
2020,MORELOS,Hombre,10 a 14 años,0.016104855,0.015984938,0.085141082,0.010672615,0.507933511
2020,MORELOS,Hombre,15 a 17 años,0.016923017,0.016005621,0.081784822,0.012277483,0.511338231
2020,MORELOS,Hombre,5 a 9 años,0.016456465,0.014596277,0.077421035,0.010169029,0.507358354
2020,MORELOS,Mujer,10 a 14 años,0.016116654,0.011945139,0.081325972,0.011957517,0.492066489
2020,MORELOS,Mujer,15 a 17 años,0.016605392,0.011683007,0.091401144,0.01317402,0.488661769
2020,MORELOS,Mujer,5 a 9 años,0.015862474,0.010357864,0.061406422,0.010396179,0.492641646
2020,MORELOS,Total,10 a 14 años,0.016110661,0.013997089,0.083263795,0.011304872,0.28866641
2020,MORELOS,Total,15 a 17 años,0.016767806,0.013893325,0.086483951,0.012715586,0.176163926
2020,MORELOS,Total,5 a 9 años,0.016163841,0.012508258,0.06953157,0.010280932,0.279449593
2020,MÉXICO,Hombre,10 a 14 años,0.014199542,0.018570294,0.093301242,0.008129653,0.505531737
2020,MÉXICO,Hombre,15 a 17 años,0.014035244,0.017296924,0.092017232,0.00948225,0.506265836
2020,MÉXICO,Hombre,5 a 9 años,0.013822718,0.017179051,0.077727414,0.006338152,0.506521462
2020,MÉXICO,Mujer,10 a 14 años,0.014125078,0.012793904,0.089658134,0.009526729,0.494468263
2020,MÉXICO,Mujer,15 a 17 años,0.014060456,0.012530905,0.101630684,0.010798175,0.493734164
2020,MÉXICO,Mujer,5 a 9 años,0.013928361,0.011784746,0.066390437,0.006931168,0.493478538
2020,MÉXICO,Total,10 a 14 años,0.014162722,0.015714053,0.091499841,0.008820463,0.292368392
2020,MÉXICO,Total,15 a 17 años,0.014047692,0.014943778,0.096763722,0.010131967,0.177110427
2020,MÉXICO,Total,5 a 9 años,0.01387485,0.014517077,0.072132859,0.006630793,0.275715829
2020,NACIONAL,Hombre,10 a 14 años,0.01736541,0.01805155,0.081289137,0.055948407,0.50753778
2020,NACIONAL,Hombre,15 a 17 años,0.017481629,0.016834927,0.078586493,0.055725808,0.506808135
2020,NACIONAL,Hombre,5 a 9 años,0.0173773,0.01720052,0.071940483,0.05055463,0.506586678
2020,NACIONAL,Mujer,10 a 14 años,0.017328103,0.012218886,0.077058531,0.05716181,0.49246222
2020,NACIONAL,Mujer,15 a 17 años,0.017492085,0.012043531,0.08788077,0.057453873,0.493191865
2020,NACIONAL,Mujer,5 a 9 años,0.017422704,0.011222513,0.058309585,0.052523983,0.493413322
2020,NACIONAL,Total,10 a 14 años,0.017347038,0.015179183,0.079205723,0.056545962,0.286120896
2020,NACIONAL,Total,15 a 17 años,0.017486786,0.014471849,0.083170355,0.056578076,0.169752173
2020,NACIONAL,Total,5 a 9 años,0.017399703,0.014250892,0.065214816,0.051526335,0.281436698
2020,NAYARIT,Hombre,10 a 14 años,0.006634792,0.019107508,0.085022347,0.077937151,0.509339569
2020,NAYARIT,Hombre,15 a 17 años,0.00576591,0.016557721,0.080013567,0.078194376,0.510105538
2020,NAYARIT,Hombre,5 a 9 años,0.007172414,0.017534483,0.077948276,0.081051724,0.50903091
2020,NAYARIT,Mujer,10 a 14 años,0.00625798,0.012048409,0.081137945,0.081677426,0.490660431
2020,NAYARIT,Mujer,15 a 17 años,0.006100106,0.011365461,0.092689505,0.080071917,0.489894462
2020,NAYARIT,Mujer,5 a 9 años,0.006470988,0.01156555,0.061849773,0.085713775,0.49096909
2020,NAYARIT,Total,10 a 14 años,0.006449905,0.015643888,0.083116425,0.079772356,0.287319023
2020,NAYARIT,Total,15 a 17 años,0.005929631,0.014014061,0.086223439,0.079114173,0.161181067
2020,NAYARIT,Total,5 a 9 años,0.006828035,0.014603921,0.070044409,0.083340647,0.288857848
2020,NUEVO LEÓN,Hombre,10 a 14 años,0.01413315,0.018665783,0.070232451,0.002604034,0.508739627
2020,NUEVO LEÓN,Hombre,15 a 17 años,0.014373878,0.017169991,0.070310433,0.005384841,0.511322542
2020,NUEVO LEÓN,Hombre,5 a 9 años,0.013985124,0.019675067,0.064956997,0.002346412,0.508127093
2020,NUEVO LEÓN,Mujer,10 a 14 años,0.013298668,0.011648982,0.072212251,0.003184994,0.491260373
2020,NUEVO LEÓN,Mujer,15 a 17 años,0.013655682,0.011074197,0.086244051,0.006330251,0.488677458
2020,NUEVO LEÓN,Mujer,5 a 9 años,0.01389936,0.011137898,0.050416411,0.002419567,0.491872907
2020,NUEVO LEÓN,Total,10 a 14 años,0.013723202,0.015218707,0.071205048,0.002889436,0.279601119
2020,NUEVO LEÓN,Total,15 a 17 años,0.014022912,0.014191114,0.078096833,0.005846841,0.165252407
2020,NUEVO LEÓN,Total,5 a 9 años,0.013942939,0.015475865,0.057804876,0.002382395,0.280265196
2020,OAXACA,Hombre,10 a 14 años,0.043400831,0.014202375,0.087917812,0.262820831,0.506037222
2020,OAXACA,Hombre,15 a 17 años,0.04410193,0.014008744,0.087647397,0.265468357,0.501082141
2020,OAXACA,Hombre,5 a 9 años,0.046148102,0.012767198,0.074598084,0.220940046,0.502884821
2020,OAXACA,Mujer,10 a 14 años,0.043252226,0.011053177,0.084288734,0.266069033,0.493962778
2020,OAXACA,Mujer,15 a 17 años,0.042244025,0.01063641,0.097839008,0.272749854,0.498917859
2020,OAXACA,Mujer,5 a 9 años,0.045778183,0.009474381,0.062212172,0.226950501,0.497115179
2020,OAXACA,Total,10 a 14 años,0.043327426,0.012646789,0.086125183,0.264425322,0.290157803
2020,OAXACA,Total,15 a 17 años,0.043174988,0.012326227,0.092732173,0.269101226,0.164570276
2020,OAXACA,Total,5 a 9 años,0.045964209,0.011130289,0.068440859,0.223927935,0.283163197
2020,PUEBLA,Hombre,10 a 14 años,0.013954416,0.01464102,0.077269146,0.075863241,0.506903667
2020,PUEBLA,Hombre,15 a 17 años,0.014462544,0.014586109,0.077330554,0.079108824,0.506312036
2020,PUEBLA,Hombre,5 a 9 años,0.013872159,0.013432036,0.066263386,0.061266496,0.504866761
2020,PUEBLA,Mujer,10 a 14 años,0.014156936,0.010631147,0.071456901,0.078098426,0.493096333
2020,PUEBLA,Mujer,15 a 17 años,0.014391581,0.01041902,0.082206121,0.081082123,0.493687964
2020,PUEBLA,Mujer,5 a 9 años,0.014053759,0.009498519,0.05411625,0.063817224,0.495133239
2020,PUEBLA,Total,10 a 14 años,0.014054278,0.012663766,0.074403149,0.076965403,0.280857036
2020,PUEBLA,Total,15 a 17 años,0.01442751,0.012528867,0.079737563,0.080083018,0.171123684
2020,PUEBLA,Total,5 a 9 años,0.013962075,0.011484421,0.060248935,0.062529446,0.27861111
2020,QUERÉTARO,Hombre,10 a 14 años,0.014407965,0.018890002,0.078306742,0.008299702,0.50778697
2020,QUERÉTARO,Hombre,15 a 17 años,0.014829219,0.017399391,0.075329726,0.009993236,0.505202371
2020,QUERÉTARO,Hombre,5 a 9 años,0.014676164,0.017627404,0.068918946,0.006172592,0.507480873
2020,QUERÉTARO,Mujer,10 a 14 años,0.013390756,0.013452135,0.074984144,0.008848743,0.49221303
2020,QUERÉTARO,Mujer,15 a 17 años,0.014191499,0.012827596,0.085977694,0.010203377,0.494797629
2020,QUERÉTARO,Mujer,5 a 9 años,0.014957067,0.011215223,0.05446805,0.00588593,0.492519127
2020,QUERÉTARO,Total,10 a 14 años,0.013907281,0.016213413,0.076671316,0.008569947,0.283503087
2020,QUERÉTARO,Total,15 a 17 años,0.014513677,0.015137278,0.080598315,0.010097213,0.167106099
2020,QUERÉTARO,Total,5 a 9 años,0.014814514,0.014469282,0.061801603,0.006031406,0.281173406
2020,QUINTANA ROO,Hombre,10 a 14 años,0.024074735,0.018887643,0.074620208,0.048914152,0.508578503
2020,QUINTANA ROO,Hombre,15 a 17 años,0.024322462,0.016628388,0.073702343,0.065686725,0.504355481
2020,QUINTANA ROO,Hombre,5 a 9 años,0.02452271,0.017463528,0.065656758,0.03366785,0.505965712
2020,QUINTANA ROO,Mujer,10 a 14 años,0.02362267,0.012160861,0.071830856,0.048524737,0.491421497
2020,QUINTANA ROO,Mujer,15 a 17 años,0.025264093,0.012643732,0.08843601,0.065158456,0.495644519
2020,QUINTANA ROO,Mujer,5 a 9 años,0.023734157,0.011710761,0.053812185,0.035262548,0.494034288
2020,QUINTANA ROO,Total,10 a 14 años,0.023852581,0.015581958,0.07324946,0.048722785,0.283746653
2020,QUINTANA ROO,Total,15 a 17 años,0.024789176,0.014653415,0.081005004,0.065424891,0.158770562
2020,QUINTANA ROO,Total,5 a 9 años,0.024133138,0.014621464,0.059805133,0.034455685,0.285782597
2020,SAN LUIS POTOSÍ,Hombre,10 a 14 años,0.016584278,0.018003337,0.083092925,0.07938154,0.507374001
2020,SAN LUIS POTOSÍ,Hombre,15 a 17 años,0.016808132,0.017517608,0.079267821,0.089161786,0.505078672
2020,SAN LUIS POTOSÍ,Hombre,5 a 9 años,0.016450899,0.018256188,0.074854438,0.05971278,0.506626786
2020,SAN LUIS POTOSÍ,Mujer,10 a 14 años,0.017522445,0.011788703,0.078055988,0.081139682,0.492625999
2020,SAN LUIS POTOSÍ,Mujer,15 a 17 años,0.017363717,0.013243289,0.091544568,0.086292011,0.494921328
2020,SAN LUIS POTOSÍ,Mujer,5 a 9 años,0.017435598,0.011498476,0.059346165,0.060206254,0.493373214
2020,SAN LUIS POTOSÍ,Total,10 a 14 años,0.017046444,0.014941847,0.080611599,0.080247646,0.287275137
2020,SAN LUIS POTOSÍ,Total,15 a 17 años,0.017083103,0.015402157,0.085343845,0.087741473,0.174430035
2020,SAN LUIS POTOSÍ,Total,5 a 9 años,0.016936723,0.014922114,0.067203072,0.059956247,0.275850273
2020,SINALOA,Hombre,10 a 14 años,0.011153791,0.020036072,0.074922082,0.007614462,0.509320757
2020,SINALOA,Hombre,15 a 17 años,0.011961025,0.017536079,0.065785639,0.009769015,0.506969604
2020,SINALOA,Hombre,5 a 9 años,0.010914554,0.019403651,0.068929904,0.006939935,0.5102317
2020,SINALOA,Mujer,10 a 14 años,0.011961366,0.01228253,0.072394858,0.007801913,0.490679243
2020,SINALOA,Mujer,15 a 17 años,0.012755202,0.011582609,0.078120725,0.00971949,0.493030396
2020,SINALOA,Mujer,5 a 9 años,0.011900395,0.012087867,0.054807026,0.007539634,0.4897683
2020,SINALOA,Total,10 a 14 años,0.011550052,0.01623157,0.073682026,0.00770644,0.288253673
2020,SINALOA,Total,15 a 17 años,0.012352578,0.014600838,0.071867211,0.009744598,0.172478894
2020,SINALOA,Total,5 a 9 años,0.011397388,0.015820612,0.062012966,0.007233648,0.277533293
2020,SONORA,Hombre,10 a 14 años,0.01204318,0.023201277,0.080285345,0.010265449,0.510802153
2020,SONORA,Hombre,15 a 17 años,0.012047417,0.019332501,0.073262714,0.012806817,0.510040899
2020,SONORA,Hombre,5 a 9 años,0.012395968,0.021796776,0.074351847,0.009592499,0.507484466
2020,SONORA,Mujer,10 a 14 años,0.012053712,0.013412322,0.077014218,0.011011058,0.489197847
2020,SONORA,Mujer,15 a 17 años,0.012353619,0.012407214,0.084586114,0.013197738,0.489959101
2020,SONORA,Mujer,5 a 9 años,0.01258343,0.012410603,0.059057354,0.009242114,0.492515534
2020,SONORA,Total,10 a 14 años,0.012048332,0.018412541,0.078685117,0.0106302,0.295364848
2020,SONORA,Total,15 a 17 años,0.012197444,0.015939394,0.078810716,0.012998352,0.173854737
